Scientific_Name	Common_Name
Cottus poecilopus	alpine bullhead
Apodemus alpicola	alpine field mouse
Capra ibex	Alpine ibex
Moschus chrysogaster	alpine musk deer
Ichthyosaura alpestris	Alpine newt
Oreoleuciscus potanini	Altai osman
Tetraogallus altaicus	Altai snowcock
Rhinella vellardi	Alto Maranon toad
Alytes obstetricans	Alytes obstetricans pertinax
Coryphaenoides marginatus	Amami grenadier
Scolopax mira	Amami woodcock
Tokudaia osimensis	Amami-oshima island spiny rat
Arthroleptis affinis	Amani screeching frog
Arthroleptis xenodactylus	Amani screeching frog
Anaxyrus nelsoni	Amargosa toad
Amarsipus carlsbergi	amarsipa
Dactylomys dactylinus	Amazon bamboo rat
Trichechus inunguis	Amazon manatee
Poecilia formosa	Amazon molly
Pellona castelnaeana	Amazon pellona
Colomesus asellus	Amazon puffer
Pristimantis altamazonicus	Amazon robber frog
Pterygoplichthys pardalis	Amazon sailfin catfish
Amazona barbadensis	Amazona barbadensis barbadensis
Amazona ochrocephala	Amazona ochrocephala auropalliata
Ranitomeya ventrimaculata	Amazonian poison frog
Cephalopterus ornatus	amazonian umbrellabird
Vanderhorstia ambanoro	Ambanoro prawn-goby
Cophyla tuberifera	Ambatoharanana giant treefrog
Hynobius stejnegeri	amber-colored salamander
Decapterus muroadsi	amberstripe scad
Cuora amboinensis	Amboina box turtle
Fibramia amboinensis	Amboina cardinalfish
Chromis amboinensis	Ambon chromis
Pomacentrus amboinensis	Ambon damsel
Blommersia blommersae	Ambrana Madagascar frog
Ambystoma mavortium	Ambystoma mavortium stebbinsi
Alligator mississippiensis	American alligator
Lophius americanus	American angler
Anhinga anhinga	American anhinga
Recurvirostra americana	American avocet
Taxidea taxus	American badger
Castor canadensis	American beaver
Bison bison	American bison
Botaurus lentiginosus	american bittern
Ursus americanus	American black bear
Melanitta americana	American black scoter
Peprilus triacanthus	American butterfish
Conger oceanicus	American conger
Fulica americana	American coot
Corvus brachyrhynchos	American crow
Peromyscus maniculatus	American deer mouse
Anguilla rostrata	American eel
Phoenicopterus ruber	American flamingo
Hippoglossina oblonga	American fourspot flounder
Dorosoma cepedianum	American gizzard shad
Pluvialis dominica	American golden-plover
Spinus tristis	American goldfinch
Larus smithsonianus	American herring gull
Martes americana	American marten
Neovison vison	American mink
Haematopus palliatus	American oystercatcher
Ochotona princeps	American pika
Hippoglossoides platessoides	American plaice
Chloroceryle aenea	American pygmy kingfisher
Tamiasciurus hudsonicus	American red squirrel
Turdus migratorius	American robin
Ammodytes americanus	American sand lance
Alosa sapidissima	American shad
Anaxyrus americanus	American toad
Sorex palustris	American water shrew
Mareca americana	American wigeon
Pseudanthias pascalus	amethyst anthias
Phapitreron amethystinus	amethyst brown-dove
Cardioglossa melanogaster	Amiet's long-fingered frog
Hynobius amjiensis	Amji salamander
Argyrosomus amoyensis	Amoy croaker
Nibea miichthioides	Amoy croaker
Pseudoscaphirhynchus kaufmanni	Amu Darya sturgeon
Rhodeus sericeus	Amur bitterling
Cyprinus carpio haematopterus	Amur carp
Silurus asotus	Amur catfish
Rhinogobius brunneus	Amur goby
Thymallus grubii	Amur grayling
Erinaceus amurensis	Amur hedgehog
Leuciscus waleckii	Amur ide
Microphysogobio amurensis	Amur longnose gudgeon
Rhynchocypris lagowskii	Amur minnow
Esox reichertii	Amur pike
Mesocottus haitej	Amur sculpin
Pungitius sinensis	Amur stickleback
Acipenser schrenckii	Amur sturgeon
Misgurnus mohoity	Amur weatherfish
Romanogobio tenuicorpus	Amur white gudgeon
Coregonus ussuriensis	Amur whitefish
Anabarilius liui	Anabarilius liui yalongensis
Anas crecca	Anas crecca crecca
Neurergus strauchii	Anatolia newt
Anaxyrus boreas	Anaxyrus boreas boreas
Centrolene pipilatum	Anazon giant glass frog
Plerotes anchietae	Anchieta's broad-faced fruit bat
Hypsugo anchietae	Anchieta's pipistrelle
Synthliboramphus antiquus	ancient murrelet
Turnix sylvaticus	Andalusian buttonquail
Pomacentrus alleni	Andaman damsel
Rupicola peruvianus	Andean cock-of-the-rock
Vultur gryphus	Andean condor
Pristimantis gryllus	Andean cricket frog
Colaptes rupicola	Andean flicker
Chloephaga melanoptera	Andean goose
Vanellus resplendens	Andean lapwing
Leopardus jacobita	Andean mountain cat
Andinobates opisthomelas	Andean poison frog
Marmosops impavidus	Andean slender mouse opossum
Scytalopus magellanicus	Andean tapaculo
Didelphis pernigra	Andean white-eared opossum
Diaphus anderseni	Andersen's lantern fish
Niviventer andersoni	Anderson's Niviventer
Ambystoma andersoni	Anderson's salamander
Callosciurus quinquestriatus	Anderson's squirrel
Espadarana andina	Andes giant glass frog
Stumpffia pygmaea	Andoany stump-toed frog
Xenopus andrei	Andre's clawed frog
Centrobranchus andreae	Andre's lanternfish
Eleutherodactylus andrewsi	Andrew's robber frog
Rhinobatos hynnicephalus	angel fish
Squatina squatina	angelshark
Litoria angiana	Angiana treefrog
Lophius piscatorius	angler
Chaca bankanensis	angler catfish
Dentex angolensis	Angola dentex
Amietia angolensis	Angola river frog
Mops condylurus	Angolan free-tailed bat
Lissonycteris angolensis	Angolan fruit bat
Fukomys bocagei	Angolan mole-rat
Cistugo seabrae	Angolan wing-gland bat
Otomys angoniensis	Angoni vlei rat
Oxynoemacheilus angorae	angora loach
Anguilla australis	Anguilla australis australis
Anguilla australis	Anguilla australis schmidti
Anguilla bengalensis	Anguilla bengalensis bengalensis
Anguilla nebulosa	Anguilla nebulosa nebulosa
Moschus anhuiensis	Anhui musk deer
Magumma parva	Anianiau
Calypte anna	Anna's hummingbird
Rhacophorus annamensis	Annam flying frog
